<<<<<<< HEAD
qi,agent,T,K_louv,K_leid,agee_louv,agee_leid,S_louv,S_leid,I_louv,I_leid,E_louv,E_leid
30,bfs,10,14,17,0.8171887573970893,0.5538278804468433,0.8408739005256802,0.31794832713460447,0.7669579213863534,0.7669579213863534,0.8513513513513513,0.72
30,greedy,10,14,17,0.7130965284404489,0.6894088285302724,0.9221846092702642,0.8944532259642318,0.38067965890258265,0.38067965890258265,0.9555555555555555,0.891566265060241
30,random_walk,10,14,17,0.6911590799109858,0.6526463397147293,0.8700287269500587,0.8049097632439318,0.4289523034939364,0.4289523034939364,0.8392603129445234,0.772765246449457
31,bfs,10,9,10,0.7390962511582744,0.7350382750116208,0.671919185529365,0.6622678620895367,0.7869994112231267,0.7869994112231267,0.7837837837837838,0.7837837837837838
31,greedy,10,9,10,0.675142058857685,0.7263252457113419,0.6930592385302665,0.8206318426027465,0.5023077967907341,0.5023077967907341,0.9263038548752835,0.935741864313293
31,random_walk,10,9,10,0.2107228754241877,0.2107228754241877,0.00013272280841462612,0.00011945052757316344,0.25485964563010155,0.25485964563010155,0.9397590361445782,0.9397590361445782
32,bfs,10,31,36,0.7998534258786856,0.8400468150320383,0.821373223689163,0.8921493857426629,0.7141201743712656,0.7141201743712656,0.891566265060241,0.9444444444444444
32,greedy,10,31,36,0.7515037868995016,0.8099685194847239,0.7772244956425751,0.8921493857426628,0.6235126095281988,0.6235126095281988,0.9054054054054054,0.9666666666666668
32,random_walk,10,31,36,0.608817112053487,0.710404440162017,0.498104984734006,0.7069943684691143,0.6336891664763862,0.6336891664763862,0.7697959183673468,0.8310657596371882
33,bfs,10,8,8,0.7222500060520525,0.7222500060520525,0.6437781743099102,0.6437781743099102,0.6819714648079003,0.6819714648079003,0.9206349206349207,0.9206349206349207
33,greedy,10,8,8,0.7365767929524701,0.7365767929524701,0.7633504541353999,0.7633504541353999,0.5780183585016303,0.5780183585016303,0.9421768707482993,0.9421768707482993
33,random_walk,10,8,8,0.22789225956391118,0.22789225956391118,0.0009647188533627343,0.0009647188533627343,0.3131447336554567,0.3131447336554567,0.9333333333333333,0.9333333333333333
34,bfs,10,48,44,0.5314224135107158,0.5830612984509574,0.48435780582446397,0.6264147647663381,0.41573064537141446,0.41573064537141446,0.8095238095238095,0.7837837837837838
34,greedy,10,48,44,0.7794388960093758,0.7928848808781048,0.8758070381922618,0.9237472954259597,0.5574264909645381,0.5574264909645381,0.9777777777777779,0.9578947368421054
34,random_walk,10,48,44,0.819681553972064,0.8191747896244324,0.829100969917377,0.8349789261407161,0.736401166776481,0.736401166776481,0.927710843373494,0.9156626506024097
35,bfs,10,6,6,0.5733426190142938,0.5733426190142938,0.5644268518472924,0.5644268518472924,0.40628687195181357,0.40628687195181357,0.873015873015873,0.873015873015873
35,greedy,10,6,6,0.5836184834112083,0.5836184834112083,0.6999789677552786,0.6999789677552787,0.2904639201972151,0.2904639201972151,0.9266666666666667,0.9266666666666667
